fullVisitorId,signup_date
0069325791480344688,2017-04-06
13600987004047012,2017-04-06
9771644217299999024,2017-03-21
2170186837713474737,2017-03-19
3578037073513361635,2017-04-06
610134288018822712,2017-04-06
5222295927205507733,2017-04-06
0938220397430229017,2017-04-06
8149582714144491771,2017-04-06
7842572522981805973,2017-04-06
3575216035004968019,2017-04-06
3549286616165113558,2017-04-06
9105803957533859372,2017-04-07
1258830362522582175,2017-05-25
7871656382908653472,2017-05-25
1860803997128884912,2017-05-25
5225714219362316441,2017-05-25
0856811095532606322,2017-05-25
8840351509653419966,2017-05-25
0579308821705392125,2017-05-04
109803188499586712,2017-05-25
4111386681676053750,2017-05-13
7809367399029825921,2017-05-25
576381314028871435,2017-05-26
0688695982649713667,2017-05-25
1762687258512387449,2017-04-27
7161303235060937067,2017-05-24
8418167686739393844,2017-05-26
6490763960606571534,2017-05-15
6029777878411782233,2017-05-25
1364144192932827053,2017-05-25
9300364153998284297,2017-05-22
1744301074572909357,2017-05-25
2221893546969338387,2017-05-25
1441667598628990361,2017-05-25
0065688929107793611,2017-05-25
0368166996771897468,2017-05-25
6352109123731552423,2017-05-26
1283565924763190752,2017-05-26
8639515945998339245,2017-05-26
5502928095947670985,2017-05-25
4295544672460956569,2017-05-25
5629190449185250817,2017-05-25
8183033846236455635,2017-05-03
2123770654400223878,2017-05-25
9015073529731502380,2017-05-25
5720289900889773545,2017-05-25
785808866004375811,2017-05-25
9396382333633364730,2017-05-25
4899119870451284412,2017-05-25
1558234781950822367,2017-05-25
2134862916044829927,2017-05-25
3458302117410713977,2016-10-20
6775926166619625691,2017-05-25
4262105519079701958,2017-05-25
227037730300325450,2017-05-25
2835247586446183006,2017-05-22
8180169028858865199,2017-05-26
0011034738725241837,2017-05-26
4367783868840921139,2017-04-21
8304358060595094796,2017-05-26
2283307516457135415,2017-05-25
4168417093242315170,2017-05-25
0168847787460734411,2017-05-23
0818925665056608520,2017-05-25
5410165320593012786,2017-05-25
8006759925696740160,2017-05-16
7847417376249436702,2017-05-25
08769882393366068,2017-05-26
502820749180097898,2017-05-25
817347133859725383,2017-05-25
066569516047218966,2017-05-25
1184383212091091091,2017-05-25
7188742373160165726,2017-05-25
2796114041016129482,2017-05-25
1005432564845526688,2017-05-25
5054967838682156421,2017-05-15
5775334874019658256,2017-05-26
5459066889416960079,2016-10-29
176163154911150701,2016-10-29
5813990528996197847,2016-10-29
7207132024745222361,2016-10-29
2423380825499316636,2016-10-29
8498611995839465128,2016-10-29
2880792813041911736,2016-10-29
6642540152884078098,2016-10-29
0815390885346986156,2016-10-30
7235960767411746392,2016-10-30
2959698529749283197,2016-10-29
5710130416589707289,2016-10-29
557415821444167277,2016-10-29
9773001911140437783,2016-10-29
6012825722834349989,2016-10-29
7477405474717322111,2016-10-29
9242124395848987807,2016-10-29
016384590887965153,2016-10-29
6238458462954138131,2016-10-30
7717038820627794650,2016-10-29
8440191938488356976,2016-10-29
531044203553373099,2016-10-29
060859841660304966,2016-10-29
8297987962421030636,2016-10-29
0648162815793533770,2016-10-29
9679031901924414508,2016-10-30
800054056557803625,2016-10-29
1368179540729382907,2016-10-29
1386437578267069171,2016-10-29
3674107639920622875,2016-10-29
9216630237479036315,2016-10-29
9188176885609727733,2016-10-29
4059047647750362095,2016-10-29
0977512996952962968,2016-10-30
6185928692366296174,2016-10-29
7334503165375357465,2016-10-29
724709428690815090,2016-10-29
2239214682523131425,2016-10-23
5521619819955889744,2016-10-29
4756210434127857610,2016-10-29
9597846437491852394,2016-10-29
3063738030200740565,2016-10-29
3859052459878010070,2016-10-29
1219621740778479412,2016-10-29
7811487245155023733,2016-10-29
8885014024722207297,2016-10-30
6198488262083900536,2016-10-29
3698607248525348557,2016-10-29
4401908967860918114,2016-10-29
635570279636632686,2016-10-29
254452654969686301,2016-10-29
0296193186679656340,2016-10-29
8499373977945813857,2016-10-29
9793681929023799302,2016-10-30
2182038810331346595,2016-10-29
2058964847691743547,2016-10-29
5850308191722810375,2016-10-29
4966465314749057005,2016-10-29
0594443177640355612,2016-10-29
2058763589781794833,2016-10-29
1541320858407481027,2016-10-29
8523962732992921221,2016-10-29
14348732164859603,2016-10-29
5686217652598435337,2016-10-10
4836891232758654622,2016-10-29
6148687593070438938,2016-10-29
8883245482727162946,2016-10-29
9828316719154737712,2016-10-07
9448820965313248959,2016-10-29
3293253109916789580,2016-10-30
0986582361676182026,2016-09-29
5357391282475953384,2016-10-29
4515086124514651617,2016-10-29
5625550343026103163,2016-10-29
5082891729149483038,2016-10-30
2429410347793423994,2016-10-29
1144045542756337361,2016-09-23
9585518142500098457,2016-10-29
0291013392516540394,2017-03-06
5413593981370455307,2017-03-05
2552304984523530435,2017-03-06
8640429618295432325,2017-03-02
814227490442807616,2017-03-06
1267447392182091132,2017-03-06
2723364867688108616,2017-03-06
377640580476802226,2017-03-06
6944288019130180719,2017-03-02
2832040020451013864,2017-03-03
5860428138397769532,2017-03-06
1421514185917818159,2017-03-06
1175736776293041514,2017-03-06
2873549929965758552,2017-03-06
5101786220090093848,2017-03-06
2249798727641980063,2017-03-07
7941899709637602656,2017-03-06
4752259681253725293,2017-02-27
3660974183980934424,2017-03-06
0361898594493320063,2017-03-06
4245590582975167267,2017-03-06
8153406435788112427,2017-02-28
1146884158243471278,2017-03-06
9875357969176654724,2017-03-07
2405648285327447572,2017-03-06
6385756990016578225,2017-03-06
272859439946183210,2017-03-06
1175227201901950214,2017-03-06
7217485514373266049,2017-03-07
2214934261364980467,2017-03-06
2796303447848267758,2017-03-06
5369609624738675521,2017-03-06
1901101674468548629,2017-03-06
9567658086478266031,2017-03-07
4577880155345642254,2017-02-13
9329359350747354036,2017-03-05
5421882557402025167,2017-03-06
7872190332309063504,2017-03-06
3404435547562826616,2017-01-30
9375635092810343052,2017-03-06
5354323945861534689,2017-03-03
0509030564901702388,2017-03-07
6664004454777353894,2017-03-06
1324470722781522649,2017-03-06
9299319750059669850,2017-03-06
7359195478342858593,2017-03-06
0056970330987085533,2017-03-06
0088930271414436924,2016-12-02
9279043135818681762,2017-03-06
8134637115917323286,2017-03-07
9098730200027311228,2017-03-07
